,,,,,,
,,,,,,
,País,2010,2017,2018,2019,2020
,Argentina,NA,NA,NA,NA,NA
,Australia,5.9,NA,4.3,4.5,NA
,Austria,7.8,NA,4.9,4.9,NA
,Bélgica,8.6,NA,NA,NA,NA
,Canadá,6.7,4.9,4.9,NA,NA
,Chile,NA,NA,NA,NA,NA
,Colômbia,NA,NA,NA,NA,NA
,Costa Rica,NA,NA,NA,NA,NA
,República Tcheca,16.2,NA,11.7,10.7,9.9
,Dinamarca,5.6,NA,3.1,3.6,NA
,Finlândia,5.1,NA,4.7,4.2,4.6
,França,7,NA,5.2,5.3,5
,Alemanha,5.2,NA,4.4,4,NA
,Grécia,NA,NA,NA,NA,NA
,Hungria,NA,NA,NA,12.8,NA
,Islândia,2.5,4.1,4.5,1.5,NA
,Irlanda,5,NA,2.9,3,4.1
,Israel,7.5,NA,NA,NA,NA
,Itália,NA,NA,NA,NA,NA
,Japão,8,NA,5.6,5.3,NA
,Coréia do Sul,18.7,NA,11.6,10.2,NA
,Lituânia,NA,NA,NA,NA,NA
,Luxemburgo,NA,NA,NA,NA,NA
,México,NA,NA,26.3,24,23.9
,Marrocos,NA,NA,NA,NA,NA
,Holanda,NA,NA,NA,NA,NA
,Nova Zelândia,9.3,8,7.8,7.2,NA
,Nigéria,NA,NA,NA,NA,NA
,Noruega,NA,NA,NA,NA,NA
,Polônia,19.6,NA,11.7,11.7,NA
,Sérvia,NA,NA,NA,NA,NA
,Eslovênia,7.7,NA,4.2,4.5,4
,Espanha,NA,NA,NA,NA,NA
,Africa do Sul,NA,NA,NA,NA,NA
,Suécia,3.5,NA,3.8,2.6,2.6
,Suiça,5.4,NA,3.4,2.7,NA
,Reino Unido,3.7,NA,NA,NA,NA
,EUA,6.9,7.3,7.1,6.9,NA
,Uruguai,NA,NA,NA,NA,NA
,Brasil,NA,35.03,32.46,29.75,32.7